CASE1,CASE2,CASE3,CASE4
1441.1,1441.1,1454,1454.9
1441.2,1441.2,1453.8,1454.8
1441.3,1441.3,1453.5,1454.6
1441.4,1441.4,1453.3,1454.3
1441.6,1441.6,1453.2,1454
1441.7,1441.7,1453.1,1453.9
1441.8,1441.8,1453,1454
1441.9,1441.9,1452.9,1454.4
1441.9,1441.9,1453,1455.1
1441.9,1441.9,1453.1,1455.9
1441.9,1441.9,1453.3,1456.8
1441.9,1441.9,1453.7,1457.6
1441.8,1441.8,1454.1,1458.3
1441.7,1441.7,1454.5,1458.7
1441.7,1441.7,1454.9,1459
1441.6,1441.6,1455.3,1459.1
1441.5,1441.5,1455.7,1459
1441.4,1441.4,1455.9,1458.8
1441.2,1441.2,1456.2,1458.4
1441.1,1441.1,1456.2,1457.8
1441,1441,1456.2,1457.1
1441,1441,1455.9,1456.4
1441,1441,1455.4,1455.9
1441,1441,1454.8,1455.7
1441.1,1441.1,1454.2,1455.9
1441.2,1441.2,1453.6,1456.3
1441.3,1441.3,1453.1,1456.8
1441.4,1441.4,1452.8,1457.3
1441.5,1441.5,1452.7,1457.7
1441.6,1441.6,1452.8,1457.9
1441.7,1441.7,1453,1458.1
1441.7,1441.7,1453.4,1458.2
1441.8,1441.8,1453.8,1458.4
1441.9,1441.9,1454.4,1458.7
1442,1442,1454.9,1458.8
1442.1,1442.1,1455.6,1458.7
1442.2,1442.2,1456.2,1458.5
1442.3,1442.3,1456.7,1458.2
1442.4,1442.4,1457.3,1457.8
1442.4,1442.4,1457.7,1457.6
1442.4,1442.4,1458,1457.6
1442.4,1442.4,1458.2,1457.8
1442.4,1442.4,1458.2,1458
1442.3,1442.3,1458.1,1458.4
1442.3,1442.3,1457.8,1458.6
1442.2,1442.2,1457.4,1458.7
1442.2,1442.2,1457.1,1458.5
1442.2,1442.2,1456.9,1458.1
1442.2,1442.2,1456.7,1457.3
1442.2,1442.2,1456.5,1456.3
1442.2,1442.2,1456.3,1455.2
1442.2,1442.2,1456.3,1454.1
1442.2,1442.2,1456.4,1453.2
1442.2,1442.2,1456.7,1453.9
1442.3,1442.3,1457,1455
1442.3,1442.3,1457.5,1456.4
1442.4,1442.4,1457.7,1457.8
1442.4,1442.4,1457.9,1459.1
1442.3,1442.3,1458,1458.9
1442.3,1442.3,1458,1458.4
1442.3,1442.3,1457.9,1457.9
1442.3,1442.3,1457.8,1457.4
1442.2,1442.2,1457.5,1457.1
1442.2,1442.2,1457.2,1457
1442.1,1442.1,1456.6,1457.1
1442,1442,1456,1457.4
1441.9,1441.9,1455.2,1457.7
1441.8,1441.8,1454.3,1458
1441.7,1441.7,1454.1,1458.3
1441.5,1441.5,1454,1458.4
1441.3,1441.3,1454.2,1458.5
1441.2,1441.2,1454.5,1458.4
1441,1441,1454.8,1458.2
1440.9,1440.9,1455.2,1458
1440.8,1440.8,1455.6,1457.8
1440.8,1440.8,1456.1,1457.6
1440.8,1440.8,1456.6,1457.6
1440.9,1440.9,1457.4,1457.6
1440.9,1440.9,1457.4,1457.8
1441,1441,1457.4,1458
1441,1441,1457.2,1458.2
1441,1441,1457,1458.2
1441,1441,1456.9,1458.1
1441,1441,1456.9,1457.8
1440.9,1440.9,1457,1457.5
1440.8,1440.8,1457.2,1457.3
1440.7,1440.7,1457.4,1457.2
1440.6,1440.6,1457.7,1457.3
1440.5,1440.5,1457.9,1457.5
1440.4,1440.4,1458,1457.7
